ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval+Stemming,31336,SUMMARY.TXT,0.34313,0.06227,0.10541,4

ROUGE-SU4+StopWordRemoval+Stemming,31336,SUMMARY.TXT,0.48933,0.07721,0.13337,4

ROUGE-L+StopWordRemoval+Stemming,30800,SUMMARY.TXT,0.50644,0.28591,0.36548,3

ROUGE-1+StopWordRemoval+Stemming,30800,SUMMARY.TXT,0.64456,0.30829,0.41709,3

ROUGE-2+StopWordRemoval+Stemming,30800,SUMMARY.TXT,0.26770,0.08768,0.13209,3

ROUGE-SU4+StopWordRemoval+Stemming,30800,SUMMARY.TXT,0.42238,0.11369,0.17916,3

ROUGE-L+StopWordRemoval+Stemming,30920,SUMMARY.TXT,0.52985,0.22615,0.31700,3

ROUGE-1+StopWordRemoval+Stemming,30920,SUMMARY.TXT,0.65704,0.32566,0.43548,3

ROUGE-2+StopWordRemoval+Stemming,30920,SUMMARY.TXT,0.25665,0.09253,0.13602,3

ROUGE-SU4+StopWordRemoval+Stemming,30920,SUMMARY.TXT,0.40747,0.12232,0.18816,3

ROUGE-L+StopWordRemoval+Stemming,30904,SUMMARY.TXT,0.57438,0.14383,0.23005,3

ROUGE-1+StopWordRemoval+Stemming,30904,SUMMARY.TXT,0.74091,0.16130,0.26492,3

ROUGE-2+StopWordRemoval+Stemming,30904,SUMMARY.TXT,0.29312,0.04462,0.07745,3

ROUGE-SU4+StopWordRemoval+Stemming,30904,SUMMARY.TXT,0.43498,0.05745,0.10149,3

ROUGE-L+StopWordRemoval+Stemming,30907,SUMMARY.TXT,0.52705,0.23456,0.32464,3

ROUGE-1+StopWordRemoval+Stemming,30907,SUMMARY.TXT,0.66267,0.23392,0.34578,3

ROUGE-2+StopWordRemoval+Stemming,30907,SUMMARY.TXT,0.21915,0.06519,0.10049,3

ROUGE-SU4+StopWordRemoval+Stemming,30907,SUMMARY.TXT,0.38268,0.08968,0.14531,3

ROUGE-L+StopWordRemoval+Stemming,32097,SUMMARY.TXT,0.62744,0.17677,0.27583,4

ROUGE-1+StopWordRemoval+Stemming,32097,SUMMARY.TXT,0.77609,0.09178,0.16414,4

ROUGE-2+StopWordRemoval+Stemming,32097,SUMMARY.TXT,0.33537,0.03024,0.05548,4

ROUGE-SU4+StopWordRemoval+Stemming,32097,SUMMARY.TXT,0.48092,0.03764,0.06981,4

